Table: Tickets Opened Per Month

|  Month   | Number of Tickets Opened |
| 12-04-01 |            1             |
| 12-05-01 |            2             |
| 12-08-01 |            2             |
| 12-10-01 |            1             |
| 12-11-01 |            1             |
| 13-01-01 |            1             |
| 13-03-01 |            1             |
| 13-04-01 |            4             |
| 13-05-01 |            8             |
| 13-07-01 |            4             |
| 13-08-01 |            2             |
| 13-09-01 |            1             |
| 13-10-01 |            2             |
| 13-12-01 |            3             |
| 14-01-01 |            2             |
| 14-04-01 |            1             |
| 14-05-01 |            7             |
| 14-06-01 |            1             |
| 14-07-01 |            5             |
| 14-09-01 |            1             |
| 14-10-01 |            4             |
| 15-01-01 |            4             |
| 15-03-01 |            4             |
| 15-04-01 |            6             |
| 15-06-01 |            1             |
| 15-07-01 |            1             |
| 15-09-01 |            5             |
| 15-10-01 |            3             |
| 15-12-01 |            5             |
| 16-01-01 |            1             |
| 16-02-01 |            6             |
| 16-03-01 |            1             |
| 16-04-01 |            3             |
| 16-06-01 |            3             |
| 16-07-01 |            5             |
| 16-08-01 |            2             |
| 16-12-01 |            3             |
| 17-01-01 |            2             |
| 17-02-01 |            3             |
| 17-03-01 |            2             |
| 17-05-01 |            1             |
| 17-06-01 |            9             |
| 17-08-01 |            1             |
| 17-09-01 |            4             |
| 17-11-01 |            3             |
| 17-12-01 |            1             |
| 18-01-01 |            2             |
| 18-02-01 |            3             |
| 18-03-01 |            4             |
| 18-05-01 |            1             |
| 18-06-01 |            3             |
| 18-08-01 |            1             |
| 18-09-01 |            1             |
| 18-11-01 |            2             |
| 19-01-01 |            2             |
| 19-02-01 |            2             |
| 19-03-01 |            2             |
| 19-04-01 |            8             |
| 19-05-01 |            7             |
| 19-06-01 |            1             |
| 19-07-01 |            2             |
| 19-08-01 |            5             |
| 19-10-01 |            3             |
| 19-11-01 |            4             |
| 20-01-01 |            2             |
| 20-04-01 |            1             |
| 20-05-01 |            3             |
| 20-07-01 |            3             |
| 20-08-01 |            6             |
| 20-09-01 |            2             |
| 20-10-01 |            4             |
| 20-12-01 |            1             |
| 21-01-01 |            2             |
| 21-04-01 |            2             |
| 21-05-01 |            3             |
| 21-06-01 |            3             |
| 21-07-01 |            3             |
| 21-09-01 |            4             |
| 21-10-01 |            2             |
| 21-12-01 |            3             |
| 22-01-01 |            6             |
| 22-02-01 |            3             |
| 22-03-01 |            2             |
| 22-04-01 |            4             |
| 22-06-01 |            9             |
| 22-07-01 |            3             |
| 22-08-01 |            1             |
| 22-09-01 |            2             |
| 22-10-01 |            2             |
| 22-11-01 |            1             |
| 22-12-01 |            1             |
| 23-02-01 |            4             |
| 23-03-01 |            1             |
| 23-04-01 |            4             |
| 23-06-01 |            4             |
| 23-07-01 |            5             |
| 23-08-01 |            3             |
| 23-09-01 |            1             |
| 24-02-01 |            2             |
| 24-03-01 |            2             |
| 24-05-01 |            4             |
| 24-06-01 |            6             |
| 24-07-01 |            1             |
| 24-09-01 |            6             |
| 24-11-01 |            4             |
| 24-12-01 |            1             |
| 25-01-01 |            4             |
| 25-02-01 |            2             |
| 25-03-01 |            3             |
| 25-05-01 |            3             |
| 25-06-01 |            4             |
| 25-08-01 |            4             |
| 25-10-01 |            3             |
| 25-11-01 |            1             |
| 26-01-01 |            5             |
| 26-02-01 |            1             |
| 26-03-01 |            3             |
| 26-04-01 |            3             |
| 26-05-01 |            1             |
| 26-07-01 |            1             |
| 26-08-01 |            3             |
| 26-10-01 |            2             |
| 26-11-01 |            6             |
| 27-01-01 |            1             |
| 27-04-01 |            3             |
| 27-05-01 |            4             |
| 27-07-01 |            1             |
| 27-08-01 |            2             |
| 27-09-01 |            1             |
| 27-10-01 |            3             |
| 28-01-01 |            2             |
| 28-04-01 |            2             |
| 28-05-01 |            4             |
| 28-06-01 |            2             |
| 28-07-01 |            2             |
| 28-09-01 |            1             |
| 29-01-01 |            5             |
| 29-03-01 |            4             |
| 29-04-01 |            3             |
| 29-06-01 |            1             |
| 29-07-01 |            1             |
| 29-09-01 |            6             |
| 29-10-01 |            1             |
| 29-11-01 |            1             |
| 29-12-01 |            1             |
| 30-01-01 |            1             |
| 30-03-01 |            2             |
| 30-04-01 |            6             |
| 30-06-01 |            2             |
| 30-07-01 |            4             |
| 30-08-01 |            4             |
| 30-09-01 |            1             |
| 30-11-01 |            3             |
| 30-12-01 |            3             |
| 31-03-01 |            6             |
| 31-05-01 |            5             |
| 31-08-01 |            1             |


Table: Summary of Resolution Times

| Total Tickets | Average Resolution Time (Days) | Median Resolution Time (Days) | Minimum Resolution Time (Days) | Maximum Resolution Time (Days) |
|:-------------:|:------------------------------:|:-----------------------------:|:------------------------------:|:------------------------------:|
|      524      |            1938.143            |             1461              |               0                |              8766              |
